rank,region_id,region_name,province_name,district_name,hospital_code,hospital_name,hospital_type,masks,encounters,citizens,masks_per_citizen,answered,unanswered,answered_pct,median_reply_hours,p90_reply_hours,oldest_unanswered_days,matched,unmatched,match_rate_pct,masks_prior_90d,masks_recent_90d,change_90d_pct,share_pct,first_date_be,last_date_be,status_pending,status_in_progress,status_completed,status_no_error_found,status_not_recorded,status_unexpected_code,action_none_yet,action_data_corrected,action_other,action_not_recorded,action_unexpected_code
31,2,เขตสุขภาพที่ 2,พิษณุโลก,บางกระทุ่ม,11253,โรงพยาบาลบางกระทุ่ม,โรงพยาบาลชุมชน,4,4,4,1.0,1,3,25.0,190.7,190.7,7.8,4,0,100.0,0,0,,0.73,25620404,25660620,0,0,1,0,3,0,0,0,1,3,0
32,2,เขตสุขภาพที่ 2,พิษณุโลก,ชาติตระการ,07516,โรงพยาบาลส่งเสริมสุขภาพตำบลชาติตระการ,ศูนย์บริการสาธารณสุข อปท.,4,4,1,4.0,0,4,0.0,,,7.1,4,0,100.0,0,0,,0.73,25630331,25650313,0,0,0,0,4,0,0,0,0,4,0
33,2,เขตสุขภาพที่ 2,พิษณุโลก,วัดโบสถ์,07576,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าขอนเบน,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,1,3.0,0,3,0.0,,,7.9,3,0,100.0,0,0,,0.55,25640530,25681118,0,0,0,0,3,0,0,0,0,3,0
34,2,เขตสุขภาพที่ 2,พิษณุโลก,เมืองพิษณุโลก,11797,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสระโคล่,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,3,1.0,0,3,0.0,,,8.9,3,0,100.0,0,0,,0.55,25671024,25671212,1,0,0,0,2,0,1,0,0,2,0
35,2,เขตสุขภาพที่ 2,พิษณุโลก,บางระกำ,14056,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแหลมมะค่า,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,1,3.0,0,3,0.0,,,7.2,3,0,100.0,0,0,,0.55,25680521,25690115,0,0,0,0,3,0,0,0,0,3,0
36,2,เขตสุขภาพที่ 2,พิษณุโลก,เนินมะปราง,07605,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโปร่งไผ่,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,1,3.0,0,3,0.0,,,7.5,3,0,100.0,0,0,,0.55,25631126,25651004,0,0,0,0,3,0,0,0,0,3,0
37,2,เขตสุขภาพที่ 2,พิษณุโลก,วังทอง,07591,โรงพยาบาลส่งเสริมสุขภาพตำบลวังนกแอ่น,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,1,3.0,0,3,0.0,,,5.1,3,0,100.0,0,0,,0.55,25670516,25690109,0,0,0,0,3,0,0,0,0,3,0
38,2,เขตสุขภาพที่ 2,พิษณุโลก,เนินมะปราง,07607,โรงพยาบาลส่งเสริมสุขภาพตำบลวังยาง,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,1,3.0,0,3,0.0,,,2.9,3,0,100.0,3,0,-100.0,0.55,25690205,25690207,0,0,0,0,3,0,0,0,0,3,0
39,2,เขตสุขภาพที่ 2,พิษณุโลก,นครไทย,07498,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองกะท้าว,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,1,3.0,0,3,0.0,,,7.4,3,0,100.0,1,0,-100.0,0.55,25680221,25690423,0,0,0,3,0,0,0,0,3,0,0
40,2,เขตสุขภาพที่ 2,พิษณุโลก,นครไทย,07515,โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยเฮี้ย,ศูนย์บริการสาธารณสุข อปท.,3,3,1,3.0,1,2,33.3,65.7,65.7,6.7,3,0,100.0,0,0,,0.55,25620107,25620301,0,0,0,0,3,0,0,0,0,3,0
41,2,เขตสุขภาพที่ 2,พิษณุโลก,วังทอง,07588,โรงพยาบาลส่งเสริมสุขภาพตำบลแก่งโสภา,โรงพยาบาลส่งเสริมสุขภาพตำบล,3,3,1,3.0,3,0,100.0,5.0,53.2,,3,0,100.0,0,0,,0.55,25660105,25671121,0,0,0,0,3,0,0,0,0,3,0
42,2,เขตสุขภาพที่ 2,พิษณุโลก,พรหมพิราม,11254,โรงพยาบาลพรหมพิราม,โรงพยาบาลชุมชน,2,2,1,2.0,0,2,0.0,,,9.1,2,0,100.0,0,0,,0.37,25630306,25650805,0,0,0,0,2,0,0,0,0,2,0
43,2,เขตสุขภาพที่ 2,พิษณุโลก,เมืองพิษณุโลก,14662,โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 2,ศูนย์บริการสาธารณสุข,2,2,2,1.0,2,0,100.0,70.1,118.1,,2,0,100.0,1,0,-100.0,0.37,25640913,25690409,0,0,2,0,0,0,0,0,2,0,0
44,2,เขตสุขภาพที่ 2,พิษณุโลก,ชาติตระการ,10612,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำจวง,โรงพยาบาลส่งเสริมสุขภาพตำบล,2,2,1,2.0,0,2,0.0,,,8.5,2,0,100.0,0,2,,0.37,25690613,25690613,0,0,0,0,2,0,0,0,0,2,0
45,2,เขตสุขภาพที่ 2,พิษณุโลก,บางระกำ,07534,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองนา,โรงพยาบาลส่งเสริมสุขภาพตำบล,2,2,1,2.0,0,2,0.0,,,0.8,2,0,100.0,0,0,,0.37,25650119,25651021,2,0,0,0,0,0,2,0,0,0,0
46,2,เขตสุขภาพที่ 2,พิษณุโลก,บางระกำ,07535,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองไผ่,โรงพยาบาลส่งเสริมสุขภาพตำบล,2,2,1,2.0,2,0,100.0,91.1,111.4,,2,0,100.0,0,0,,0.37,25641227,25660220,0,0,0,0,2,0,0,0,0,2,0
47,2,เขตสุขภาพที่ 2,พิษณุโลก,เมืองพิษณุโลก,07476,โรงพยาบาลส่งเสริมสุขภาพตำบลวังน้ำคู้,โรงพยาบาลส่งเสริมสุขภาพตำบล,2,2,1,2.0,0,2,0.0,,,5.0,2,0,100.0,0,0,,0.37,25661204,25680114,0,0,0,0,2,0,0,0,0,2,0
